gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model,best_gwas_p,largest_weight
ENSG00000000027.1,GENE27,0.5220779924714366,NA,0.6016160287186156,0.4636624665939025,0.08348164233605275,0.04231172081862786,0.03244337368410057,4,4,4,0.4645319820473427,0.34345724016339324
ENSG00000000035.1,GENE35,-0.49596787247159296,NA,0.6199170782114045,0.3234553426322072,0.46889611010798465,0.047675678143180154,0.014121622283658939,4,4,4,0.14142787182516456,0.33744934737177373
ENSG00000000047.1,GENE47,0.49519181194921646,NA,0.6204647298825867,1.4666508339847248,0.260481042536686,0.02267046908670559,0.01429379041300853,5,5,5,0.16394024358257475,0.6547784252666173
ENSG00000000004.1,GENE4,-0.4249338190901142,NA,0.6708849202259601,0.6453118641493085,0.2653845960275205,0.04869811038270909,0.04196619355388124,6,6,6,0.16812114684715906,0.6097014152495592
ENSG00000000042.1,GENE42,-0.4161089754530326,NA,0.6773302624747505,1.4631933441679712,0.20247212378675192,0.04820823751733705,0.009183320022943512,6,6,6,0.02547805565051179,0.6582407765683151
ENSG00000000037.1,GENE37,0.41009988365868805,NA,0.6817326780562865,0.5617199116028666,0.04753782777689123,0.01339295676795881,0.015985645309238763,8,8,8,0.01538017799241885,0.4825292123016687
ENSG00000000062.1,GENE62,0.356021069316646,NA,0.7218247865793102,0.9087018259683589,0.19371892244474062,0.04940516787498069,0.03242107653534277,3,3,3,0.10395382979507639,0.5969809199294515
ENSG00000000052.1,GENE52,-0.3348033884251463,NA,0.7377734042972601,1.078043803254965,0.12264633558995916,0.02363242692925251,0.0145442260271588,5,5,5,0.0012289613927743113,0.8837099221322422
ENSG00000000040.1,GENE40,0.32716574603953474,NA,0.7435425271967209,0.5169424971971167,0.28079580879590577,0.02157386372371949,0.040741284663926035,5,5,5,0.007216979618228854,0.6333313414264496
ENSG00000000017.1,GENE17,0.30511200396331706,NA,0.7602808490041959,0.9967557345569165,0.12474232452678626,0.049451235729954635,0.013930286437283584,3,3,3,0.20325871417996577,0.4640981428856339
ENSG00000000067.1,GENE67,0.29235461555874087,NA,0.7700155046222982,1.783374633022941,0.04053111800084608,0.0024549083550467416,0.020057486437538716,4,4,4,0.4185230573253017,0.8800475132954916
ENSG00000000032.1,GENE32,0.24462066114306666,NA,0.80675016473744,4.720313028604339,0.2867474662487072,0.013724975813105849,0.009349805741893903,3,3,3,0.4653305332215537,1.2105994390290535
ENSG00000000070.1,GENE70,0.24026014550038324,NA,0.8101285894656872,5.541021644023823,0.1141746044067129,0.020913668743390405,0.013991282939952273,4,4,4,0.044791417829124394,0.906782458787899
ENSG00000000019.1,GENE19,0.1994255851287138,NA,0.8419298483806286,0.4217555734377771,0.48358245224569396,0.023900863842567923,0.004929775869777989,3,3,3,0.5525772680433738,0.3735503728335534
ENSG00000000050.1,GENE50,-0.16882960509803702,NA,0.8659306710749398,0.19652887884815448,0.1467505930588564,0.0006158747779975198,0.04913324499071381,3,3,3,0.4134208584553628,0.32168803113072353
ENSG00000000008.1,GENE8,0.13209193782196377,NA,0.8949115727211744,1.945956729152753,0.08139651247925672,0.03669728495585503,0.034636998106826716,5,5,5,0.010367013064647681,1.1098318195725443
ENSG00000000029.1,GENE29,-0.1295127048462106,NA,0.8969519726043111,4.688738213161999,0.3726976906063899,0.03311542174596154,0.014032680089014128,4,4,4,0.3528401797571167,0.9473131368943433
ENSG00000000030.1,GENE30,0.12194315356257895,NA,0.9029440390287078,1.0004299846828701,0.23286178922386455,0.03862530585586244,0.03922749553318264,4,4,4,0.04484248369626378,0.6983442468053427
ENSG00000000026.1,GENE26,-0.10372993801878813,NA,0.9173836677024184,0.4143787521166446,0.427889062539245,0.016359620523195614,0.03737470275285225,5,5,5,0.11549194150337844,0.4269506552284635
ENSG00000000074.1,GENE74,-0.10361346714277335,NA,0.9174760999563537,1.473396767413194,0.2790980558649147,0.006287887236732223,0.018587201307688365,3,3,3,0.16141632096209801,0.5758929332501294
ENSG00000000077.1,GENE77,0.09966853025846589,NA,0.9206074853192028,0.5848403335491984,0.11856716766608308,0.03551259779645359,0.0272281754205875,5,5,5,0.04324888381892079,0.41490763673323566
ENSG00000000061.1,GENE61,0.09508565827398112,NA,0.9242467894981454,0.7154549613617165,0.10750356187295433,0.01891875014789991,0.030640503909410255,3,3,3,0.715435622337542,0.7052255366602203
ENSG00000000045.1,GENE45,0.09253404449170684,NA,0.926273743651328,1.0717904935474998,0.41718055231580425,0.009589006849781593,0.019672993360475215,7,7,7,0.029789588402440018,0.6778455292366578
ENSG00000000000.1,GENE0,0.09148709618796118,NA,0.9271055589867717,1.8340080934136498,0.10679543057449022,0.017982984937575858,0.008481792866102709,4,4,4,0.6662833039849717,0.6567680162684602
ENSG00000000049.1,GENE49,0.061468331059382056,NA,0.950986234851152,1.5623803720322136,0.4035395560045746,0.008388966039861832,0.013127312390990305,3,3,3,0.14779481034295563,0.6447817612980095
ENSG00000000024.1,GENE24,0.06094904589595229,NA,0.9513997890438951,0.13086465970102168,0.472798051387235,0.014108949220211208,0.029794248894101684,3,3,3,0.15635751278493995,0.16364362755790815
ENSG00000000073.1,GENE73,0.05429950927485692,NA,0.9566965405202194,1.2151925338314986,0.4426391563432188,0.010701559405124307,0.017232433733256555,4,4,4,0.06941257188998391,0.6688355038906031
ENSG00000000005.1,GENE5,-0.017265026415329048,NA,0.986225186320109,0.8549690430966818,0.29927877423562843,0.03239056130418831,0.006042911655398628,7,7,7,0.1874262557436106,0.6776057411127461
ENSG00000000002.1,GENE2,0.011705911401914347,NA,0.9906602473246081,0.6216919896893622,0.3009858689637656,0.021015587744733076,0.020172939857888605,5,5,5,0.37608607718237297,0.5341082914995048
